A,B,D,P,E
101|6419062|6421629|6422882|6422883|6425179|6425193|6425197|6465651,8370836,,,
101|6419062|6421629|6422882|6422883|6425179|6425194|6425199|6465652,8370869,,,
101|6419062|6421629|6422882|6422883|6425179|6425195|6425201|6465655,8624336,,,
101|6419062|6421629|6422882|6422883|6425179|6425196|6425203|6465658,8624362,,,
101|6419062|6421629|6422882|6422883|6425179|6469800|6469804|6469814,8737604,,,
101|6419062|6421629|6422882|6422883|6425179|6469801|6469806|6469817,8737623,,,
101|6419062|6421629|6422882|6422883|6425179|6469802|6469808|6469820,8737642,,,
101|6419062|6421629|6422882|6422883|6425178|6425190|6425207|6470180,8737829,,,
101|6419062|6421629|6422882|6422883|6425178|6425191|6425209|6470183,8737848,,,
101|6419062|6421629|6422882|6422883|6425178|6425192|6425211|6470186,8737867,,,
101|6419062|6421629|6422882|6422883|6425178|6479704|6479705|6479707,8642346,,,
101|6419062|6421629|6422882|6422883|6425177|6425186|6425213|6480547,8371071,,,
101|6419062|6421629|6422882|6422883|6425177|6425187|6425215|6480550,8371099,,,
101|6419062|6421629|6422882|6422883|6425177|6425188|6425217|6480553,8371127,,,
101|6419062|6421629|6422882|6422883|6425177|7925759|7925760|7925762,9329725,,,
101|6419062|6421629|6422882|6422883|6425177|7957157|7957158|7957159,8371316,,,
101|6419062|6421629|6422882|6422883|6425172|6425174|6425175|6480556,8370779,,,
101|6419062|6421629|6422882|6422883|6425172|6425183|6425219|6480557,8371155,,,
101|6419062|6421629|6422882|6422883|6425172|6425184|6425221|6480558,8371183,,,
101|6419062|6421629|6422882|6422883|6549179|7957816|7957818|7957819,9449249,,,
101|6419062|6421629|6422882|6422883|6549179|6549181|6549195|6549461,9161192,,,
101|6419062|6421629|6422882|6422883|6549188|8021464|8021465|8021467,9648653,,,
101|6419062|6421629|6422882|6422883|6549188|8021470|8021473|8021477,9648667,,,
101|6419062|6421629|6422882|6422883|6549188|8021471|8021479|8021481,9648680,,,
101|6419062|6421629|6422882|6422883|6549189|6549191|6549204|6549476,9161430,,,
101|6419062|6421629|6422882|6422883|6549189|6549192|6549206|6549479,9161443,,,
101|6419062|6421629|6422882|6422883|6549348|8021485|8021489|8021490,9648737,,,
101|6419062|6421629|6422882|6422883|6549348|8021486|8021494|8021495,9648750,,,
101|6419062|6421629|6422882|6422883|6549348|8021488|8021499|8021500,9648763,,,
101|6419062|6421629|6422882|6425223|6425227|6425235|6425249|6469827,8821993,,,
101|6419062|6421629|6422882|6425223|6425227|6469803|6469810|6469830,8822015,,,
101|6419062|6421629|6422882|6425223|6425229|6425236|6425251|6480507,8371478,,,
101|6419062|6421629|6422882|6425223|6425229|6425237|6425253|6480510,8371505,,,
101|6419062|6421629|6422882|6425223|6425229|6425238|6425255|6480513,8371532,,,
101|6419062|6421629|6422882|6425223|6425225|6425241|6425262|6480530,8371370,,,
101|6419062|6421629|6422882|6425223|6425225|7925785|7925786|7925791,9325885,,,
101|6419062|6421629|6422882|6425223|6425224|6425242|6425264|6480533,8371397,,,
101|6419062|6421629|6422882|6425223|6425224|6425243|6425266|6480541,8822172,,,
101|6419062|6421629|6422882|6425223|6425224|6425244|6425268|6480544,8371451,,,
101|6419062|6421629|6422882|6425223|6549186|6549211|6549219|6549405,9170128,,,
101|6419062|6421629|6422882|6425223|6549186|6549212|6549221|6549410,9170141,,,
101|6419062|6421629|6422882|6425223|6549186|6549213|6549223|6549413,9170154,,,
101|6419062|6421629|6422882|6425223|6549186|7957828|7957829|7957830,9449289,,,
101|6419062|6421629|6422882|6425223|6549187|8021507|8021510|8021511,9648836,,,
101|6419062|6421629|6422882|6425223|6549187|8021508|8021515|8021517,9648849,,,
101|6419062|6421629|6422882|6425223|6549187|8021509|8021520|8021522,9648862,,,
101|6419062|6421629|6422882|6425223|6549194|6549216|6549228|6549445,9161742,,,
101|6419062|6421629|6422882|6425223|6549194|6549217|6549230|6549448,9161755,,,
101|6419062|6421629|6422882|6425223|6549347|8021526|8021529|8021530,9648935,,,
101|6419062|6421629|6422882|6425223|6549347|8021527|8021534|8021536,9648948,,,
101|6419062|6421629|6422882|6425223|6549347|8021528|8021539|8021541,9648961,,,
101|6419062|6421629|6422882|6425515|6459186|6459190|6459197|6459200,8352940,,,
101|6419062|6421629|6422882|6425515|6459186|6459190|6459197|7952980,9425212,,,
101|6419062|6421629|6422882|6425421|6425422|6425426|6425439|6458104,8572346,,,
101|6419062|6421629|6422882|6425421|6425422|6425426|6425439|6458105,8572353,,,
101|6419062|6421629|6422882|6425421|6425424|6425428|6425441|6455886,8557460,,,
101|6419062|6421629|6422882|6425421|6425424|6425428|6425441|6455887,8557467,,,
101|6419062|6421629|6422882|6425421|6425424|6425428|6425441|6455888,8557474,,,
101|6419062|6421629|6422882|6425421|6425424|6425428|6425441|6455889,8557481,,,
101|6419062|6421629|6422882|6425421|6549353|6549600|6549606|6549608,9162051,,,
101|6419062|6421629|6422882|6425421|6549355|6549602|6549804|6549806,9167442,,,
101|6419062|6421629|6422882|6425421|6549355|6549602|6549804|6549807,9167449,,,
101|6419062|6421629|6422882|6425421|6549356|6549603|6549812|6549814,9167494,,,
101|6419062|6421629|6422882|6425421|6549356|6549603|6549812|6549815,9167501,,,
101|6419062|6421629|6422882|6425454|6425455|6425457|6425459|6460149,8583973,,,
101|6419062|6421629|6422882|6425500|6425502|6425506|6425510|6477876,8759344,,,
101|6419062|6421629|6422882|6425500|6425503|6425507|6425511|6457900,8568094,,,
101|6419062|6421629|6422882|6425500|6425503|6425507|6425511|6457901,8568105,,,
101|6419062|6421629|6422882|6425500|6549367|8023087|8023089|8023095,9651549,,,
101|6419062|6421629|6422882|6425513|6425551|6425558|6425569,8388823,,,
101|6419062|6421629|6422882|6425513|6425551|6425559|6425570,8388834,,,
101|6419062|6421629|6422882|6425513|6425552|6425565|6425571,8388856,,,
101|6419062|6421629|6422882|6425513|6425552|6425566|6425572,9311437,,,
101|6419062|6421629|6422882|6425513|6549368|6549677|7805298,9318522,,,
101|6419062|6421629|6422882|6425513|6549368|6549678|7805299,9318529,,,
101|6419062|6421629|6422882|6425513|6549369|6549679|6549689|6549691,9166704,,,
101|6419062|6421629|6422882|6425513|6549369|6549679|6549689|6549692,9166714,,,
101|6419062|6421629|6422882|6425513|6549369|6549683|8127587,9788717,,,
101|6419062|6421629|6422882|6425513|6549369|6549684|8127588,9788724,,,
101|6419062|6421629|6422882|6425514|6425573|6425575|6460201|6480564,8584001,,,
101|6419062|6421629|6422882|6425514|6425573|6425580|6460202|6480561,8584011,,,
101|6419062|6421629|6422882|6425514|6425573|6425583|6460203|6480641,8584021,,,
101|6419062|6421629|6422882|6425514|6425574|6425587|6460204|6480646,8584031,,,
101|6419062|6421629|6422882|6425514|6425574|6425591|6460205|6480651,8584041,,,
101|6419062|6421629|6422882|6425514|6549370|6549712|6549726|6549728,9166907,,,
101|6419062|6421629|6422882|6425514|6549370|6549714|6549734|6549736,9166929,,,
101|6419062|6421629|6422882|6425514|6549370|6549716|6549742|6549745,9167051,,,
101|6419062|6421629|6422882|6425514|6549370|8045585|8047172|8047173,9715520,,,
101|6419062|6421629|6422882|6425514|6549371|6549768|6549780|6549781,9167350,,,
101|6419062|6421629|6422882|6422884|100079454|100079455|100079456|100079457,9846799,,,
101|6419062|6421629|6422882|6422884|100079454|100079455|100079456|100079458,9846800,,,
101|6419062|6421629|6422882|6422884|6549372|6549788|6549790|6549792,9327686,,,
